type,total_price,carat,price_per_carat,color,shape,length,width,height,clarity,cut,color_intensity,origin,treatment,cut_quality
Yellow Sapphire,2460,2.05,1200,Yellow,Radiant,7.01,6.22,4.43,Very Slightly Included,Radiant Cut,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,2461,1.07,2300,Blue,Emerald Cut,6.43,4.8,3.58,Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),Heated,Excellent
Blue Sapphire,2464,1.12,2200,Blue,Cushion,5.81,5.66,3.51,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,2464,1.12,2200,Blue,Cushion,5.95,5.4,3.87,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,2464,1.54,1600,Blue,Oval,7.51,6.17,4.45,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Green Sapphire,2464,3.08,800,Green,Emerald Cut,8.68,6.68,5.06,Very Slightly Included,Emerald Cut,Medium Intense,Madagascar,Heated,Fair
Pink Sapphire,2464,1.54,1600,Purplish Pink,Round,7.23,7.06,3.93,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Pink Sapphire,2464,1.54,1600,Purplish Pink,Oval,7.72,5.71,4.1,Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Very Good
Pink Sapphire,2464,1.76,1400,Pink,Oval,8.56,6.63,3.56,Very Slightly Included,Mixed Brilliant,Medium,Madagascar,No Enhancement,Very Good
White Sapphire,2464,3.08,800,White,Asscher - Octagon,7.43,7.2,5.96,Very Slightly Included,Asscher,Colorless,Ceylon (Sri Lanka),Heated,Poor
Blue Sapphire,2465,1.45,1700,Blue,Pear,8.92,5.94,3.85,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Very Good
Pink Sapphire,2465,1.45,1700,Pink,Pear,8.51,5.15,4.26,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,Excellent
Green Sapphire,2466,1.37,1800,Green,Cushion,7.01,4.72,4.14,Eye Clean,Mixed Brilliant,Intense,Montana,No Enhancement,Excellent
Yellow Sapphire,2468,1.65,1496,Yellowish Green,Pear,8.92,6.5,4.34,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,2472,1.03,2400,Blue,Emerald Cut,7.16,4.32,3.06,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Excellent
Blue Sapphire,2472,1.94,1274,Blue,Pear,8.84,7.52,3.77,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Ruby,2472,1.03,2400,Pinkish Red,Cushion,6.47,5.83,2.8,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,Heated,Good
Purple Sapphire,2473,2.15,1150,Purple,Emerald Cut,7.14,6.27,5.04,Eye Clean,Emerald Cut,Light,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,2475,0.99,2500,Blue,Round,6.2,6.03,3.62,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Padparadscha Sapphire,2477,1.72,1440,Padparadscha (Pinkish-Orange / Orangish-Pink),Pear,8.65,6.55,3.92,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,2480,1.55,1600,Blue,Cushion,7.41,5.34,4.24,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Good
Green Sapphire,2480,1.24,2000,Green,Round,6.53,6.5,3.9,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Excellent
Yellow Sapphire,2480,2.12,1170,Yellow,Cushion,7.61,6.9,4.43,Eye Clean,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,Good
Padparadscha Sapphire,2483,1.14,2178,Padparadscha (Pinkish-Orange / Orangish-Pink),Pear,7.95,5.02,3.84,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,2484,1.38,1800,Blue,Oval,7.28,5.24,4.1,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Pink Sapphire,2484,2.07,1200,Pink,Oval,8.46,6.92,4.33,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
White Sapphire,2484,2.07,1200,White,Asscher - Octagon,7.36,7.1,4.13,Very Slightly Included,Asscher,Colorless,Ceylon (Sri Lanka),Heated,Very Good
Ruby,2485,0.71,3500,Red,Round,5.14,5.07,3.41,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Very Good
Blue Sapphire,2486,1.13,2200,Blue,Oval,7.12,4.98,3.54,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,2488,1.99,1250,Blue,Oval,8.05,6,4.82,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,2489,1.31,1900,Blue,Trillion,6.91,7.26,3.99,Very Slightly Included,Trillion Cut,Vivid,Thailand,Heated,Very Good
Blue Sapphire,2491,1.06,2350,Blue,Round,6.99,5.26,3.12,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,2492,1.78,1400,Blue,Pear,8.6,6.32,4.58,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Green Sapphire,2493,3.07,812,Green,Oval,8.59,7.03,6.1,Slightly Included,Mixed Brilliant,Medium Intense,Tanzania,No Enhancement,Fair
Blue Sapphire,2496,1.04,2400,Blue,Cushion,6,6,3.59,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Padparadscha Sapphire,2496,1.04,2400,Padparadscha (Pinkish-Orange / Orangish-Pink),Pear,7.98,5.01,3.81,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Padparadscha Sapphire,2496,1.04,2400,Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,7.54,5.61,3.02,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,2496,1.28,1950,Purplish Pink,Round,6.55,6.42,3.96,Very Slightly Included,Mixed Brilliant,Intense,Madagascar,No Enhancement,Good
Yellow Sapphire,2496,2.08,1200,Yellow,Emerald Cut,7.98,6.02,4.06,Eye Clean,Emerald Cut,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,2497,2.27,1100,Blue,Pear,9.04,6.88,4.91,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,2498,1.67,1496,Yellowish Green,Round,7.13,7.14,4.66,Very Slightly Included,Mixed Brilliant,Medium Intense,Montana,Heated,Excellent
Blue Sapphire,2499,1.47,1700,Greyish Blue,Fancy,7.47,6.48,4.37,Very Slightly Included,Mixed Brilliant,Medium Intense,Montana,No Enhancement,Very Good
Blue Sapphire,2500,2.01,1244,Blue,Oval,7.31,6.03,5.59,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
White Sapphire,2500,2.08,1201.92,White,Round,7.65,7.57,4.63,Very Slightly Included,Mixed Brilliant,Colorless,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,2501,2.6,962,Blue,Pear,9.32,6.99,4.74,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,2505,1.67,1500,Blue,Heart,6.83,7.98,4.23,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Padparadscha Sapphire,2505,1.67,1500,Padparadscha (Pinkish-Orange / Orangish-Pink),Round,7.2,7.34,4.26,Very Slightly Included,Mixed Brilliant,Medium Intense,East Africa,No Enhancement,Good
Blue Sapphire,2508,2.28,1100,Blue,Oval,8.6,6.02,5.12,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,2508,1.14,2200,Blue,Oval,6.7,5.94,3.68,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,2508,0.88,2850,Blue,Asscher - Octagon,5.32,4.89,3.16,Very Slightly Included,Asscher,Vivid,Ceylon (Sri Lanka),No Enhancement,Excellent
Pink Sapphire,2508,2.28,1100,Pinkish Purple,Radiant,8.16,6.03,4.86,Very Slightly Included,Radiant Cut,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Purple Sapphire,2508,2.57,976,Violet,Oval,9.32,6.33,4.34,Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),Heated,Fair
Ruby,2508,1.32,1900,Red,Oval,7.88,5.71,3.49,Very Slightly Included,Mixed Brilliant,Vivid,Thailand (Siam),Heated,Fair
Yellow Sapphire,2508,2.09,1200,Yellow,Round,7.44,7.51,5,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Green Sapphire,2517,3.1,812,Green,Emerald Cut,9.08,6.42,4.74,Very Slightly Included,Emerald Cut,Medium,Tanzania,No Enhancement,Fair
Blue Sapphire,2520,1.26,2000,Blue,Emerald Cut,6.61,5.42,3.39,Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Pink Sapphire,2520,2.1,1200,Pink,Round,7.26,7.24,4.53,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,2520,1.68,1500,Pink,Oval,7.22,5.66,4.84,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Very Good
Ruby,2520,0.84,3000,Pinkish Red,Round,5.62,5.55,3.26,Very Slightly Included,Mixed Brilliant,Vivid,Mozambique,Heated,Excellent
Ruby,2520,0.42,6000,Red,Cushion,4.14,4.12,2.41,Slightly Included,Mixed Brilliant,Vivid,Burma (Myanmar),No Enhancement,Very Good
White Sapphire,2520,2.52,1000,White,Emerald Cut,7.35,6.88,4.92,Very Slightly Included,Emerald Cut,Colorless,Ceylon (Sri Lanka),Heated,Good
Yellow Sapphire,2520,2.1,1200,Orangish Yellow,Round,7.13,6.99,5.03,Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Yellow Sapphire,2520,2.1,1200,Yellow,Round,7.72,7.33,4.61,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Very Good
Yellow Sapphire,2520,1.68,1500,Yellowish Green,Oval,7.82,6.03,4.45,Very Slightly Included,Mixed Brilliant,Medium Intense,Montana,No Enhancement,Very Good
Ruby,2523,0.87,2900,Pinkish Red,Cushion,6.1,5.32,2.78,Very Slightly Included,Mixed Brilliant,Vivid,Thailand (Siam),Heated,Good
Padparadscha Sapphire,2525,1.01,2500,Padparadscha (Pinkish-Orange / Orangish-Pink),Pear,8.61,5.05,3.14,Eye Clean,Mixed Brilliant,Intense,Madagascar,Heated,Good
Blue Sapphire,2528,1.58,1600,Blue,Cushion,7.45,5.99,3.98,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Pink Sapphire,2528,1.58,1600,Pink,Oval,7.66,6.91,3.63,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,2530,2.53,1000,Yellowish Orange,Asscher - Octagon,7.85,6.93,4.81,Eye Clean,Asscher,Vivid,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,2532,2.13,1200,Yellow,Radiant,7.85,5.99,4.49,Eye Clean,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,2534,2.25,1126,Blue,Oval,8.77,6.22,4.75,Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,2535,1.69,1500,Blue,Radiant,7.1,5.48,4.41,Very Slightly Included,Radiant Cut,Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,2542,2.05,1240,Purplish Blue,Round,7.14,7.18,4.94,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,2544,1.59,1600,Blue,Cushion,7.65,6.96,3.65,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Green Sapphire,2544,1.59,1600,Green,Oval,7.77,6.1,4.47,Slightly Included,Mixed Brilliant,Intense,Montana,No Enhancement,Excellent
Padparadscha Sapphire,2544,1.06,2400,Padparadscha (Pinkish-Orange / Orangish-Pink),Trillion,5.98,5.74,4,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
White Sapphire,2544,2.12,1200,White,Pear,10.35,6.59,4.22,Eye Clean,Mixed Brilliant,Colorless,Ceylon (Sri Lanka),No Enhancement,Very Good
Yellow Sapphire,2544,2.57,990,Greenish Yellow,Oval,9.03,6.66,5.1,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,2544,1.59,1600,Yellow,Cushion,9.14,6.82,5.13,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Excellent
Blue Sapphire,2546,1.34,1900,Blue,Oval,7.39,5.92,3.94,Very Slightly Included,Mixed Brilliant,Intense,Thailand,Heated,Very Good
Yellow Sapphire,2547,2.83,900,Yellow,Oval,7.45,5.54,3.92,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Pink Sapphire,2548,1.86,1370,Pink,Cushion,7.04,6.2,4.3,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,2550,1.7,1500,Blue,Oval,7.64,5.47,4.49,Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,2550,1.7,1500,Blue,Cushion,7.28,6.37,3.91,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Ruby,2550,1.02,2500,Pinkish Red,Heart,5.88,5.87,3.86,Very Slightly Included,Mixed Brilliant,Intense,Burma (Myanmar),Heated,Fair
Ruby,2550,0.85,3000,Pinkish Red,Round,5.55,5.45,3.73,Slightly Included,Radiant Cut,Vivid,Madagascar,No Enhancement,Very Good
Yellow Sapphire,2550,1.7,1500,Yellowish Green,Oval,7.69,6.35,4.56,Very Slightly Included,Mixed Brilliant,Medium Intense,Montana,No Enhancement,Very Good
Blue Sapphire,2552,1.16,2200,Blue,Round,5.88,5.87,4.28,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,2552,1.16,2200,Blue,Round,6.06,6,3.99,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Yellow Sapphire,2554,2.06,1240,Yellow,Radiant,7.92,6.14,3.94,Very Slightly Included,Radiant Cut,Medium Light,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,2556,1.42,1800,Blue,Oval,7.25,5.82,4.01,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Padparadscha Sapphire,2556,1.42,1800,Padparadscha (Pinkish-Orange / Orangish-Pink),Heart,6.78,8.06,3.49,Eye Clean,Mixed Brilliant,Intense,Madagascar,No Enhancement,Fair
Yellow Sapphire,2556,2.11,1200,Yellow,Marquise,10.11,5.71,4.33,Eye Clean,Radiant Cut,Medium Intense,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,2560,1.6,1600,Blue,Asscher - Octagon,6.62,6.25,3.79,Very Slightly Included,Asscher,Vivid,Ceylon (Sri Lanka),Heated,Fair
Yellow Sapphire,2560,2.56,1000,Yellow,Oval,8.72,6.7,4.85,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,2560,2.56,1000,Yellow,Cushion,7.1,6.75,5.47,Eye Clean,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Ruby,2562,0.61,4200,Red,Round,4.94,4.89,2.94,Eye Clean,Mixed Brilliant,Vivid,Mozambique,Heated,Excellent
Blue Sapphire,2565,1.35,1900,Blue,Oval,8.93,5.28,3.88,Very Slightly Included,Mixed Brilliant,Intense,Thailand,Heated,Very Good
Blue Sapphire,2565,1.35,1900,Blue,Cushion,6.48,5.92,3.85,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,2565,0.95,2700,Blue,Emerald Cut,5.99,5,3.44,Very Slightly Included,Emerald Cut,Vivid,Ceylon (Sri Lanka),Heated,Excellent
Blue Sapphire,2565,1.71,1500,Blue,Oval,8.42,5.54,4.25,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,2565,1.71,1500,Blue,Round,6.79,6.73,4.55,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Green Sapphire,2565,1.71,1500,Green,Cushion,7.88,5.75,4.39,Very Slightly Included,Mixed Brilliant,Medium Intense,Montana,No Enhancement,Very Good
Pink Sapphire,2567,1.51,1700,Pink,Cushion,6.81,6.11,3.99,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,2568,2.14,1200,Blue,Emerald Cut,7.72,5.83,4.67,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,2568,1.07,2400,Blue,Cushion,7.14,5.15,3.18,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Padparadscha Sapphire,2569,1.59,1616,Padparadscha (Pinkish-Orange / Orangish-Pink),Cushion,6.7,6.51,4.12,Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Padparadscha Sapphire,2572,1.47,1750,Padparadscha (Pinkish-Orange / Orangish-Pink),Emerald Cut,7.58,4.58,3.89,Very Slightly Included,Emerald Cut,Intense,Madagascar,Heated,Fair
Blue Sapphire,2573,1.66,1550,Blue,Pear,9,5.56,4.42,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,2574,1.15,2238,Blue,Oval,6.72,5.17,3.93,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Very Good
Yellow Sapphire,2574,1.98,1300,Yellow,Emerald Cut,7.58,5.99,4.04,Very Slightly Included,Emerald Cut,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Yellow Sapphire,2574,2.34,1100,Yellow,Cushion,7.52,7.45,4.38,Very Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Green Sapphire,2576,1.61,1600,Green,Cushion,7.7,5.76,4.31,Very Slightly Included,Mixed Brilliant,Medium Intense,Montana,No Enhancement,Very Good
Padparadscha Sapphire,2576,1.84,1400,Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,8.08,6.42,4.7,Eye Clean,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,2580,1.72,1500,Blue,Asscher - Octagon,6.4,6.27,4.59,Very Slightly Included,Asscher,Vivid,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,2580,2.15,1200,Blue,Pear,9.19,7.74,4.45,Eye Clean,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,2580,2.15,1200,Pinkish Purple,Emerald Cut,7.83,6.27,4.44,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
White Sapphire,2580,2.58,1000,White,Emerald Cut,9.53,6.55,4.24,Eye Clean,Emerald Cut,Near Colorless,Ceylon (Sri Lanka),No Enhancement,Very Good
Yellow Sapphire,2580,2.15,1200,Yellow,Asscher - Octagon,7.63,7.32,4.13,Very Slightly Included,Asscher,Medium,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,2584,1.36,1900,Blue,Cushion,6.58,6.57,3.54,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,2584,1.36,1900,Blue,Round,5.89,5.91,4.5,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
Green Sapphire,2584,1.52,1700,Green,Emerald Cut,7.08,6,3.57,Eye Clean,Emerald Cut,Intense,Ceylon (Sri Lanka),Heated,Very Good
Padparadscha Sapphire,2584,1.52,1700,Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,8.02,5.82,3.8,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,2587,1.99,1300,Pink,Round,7.95,7.9,3.89,Very Slightly Included,Mixed Brilliant,Light,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,2590,2.59,1000,Yellow,Radiant,9.24,6.14,4.59,Very Slightly Included,Radiant Cut,Vivid,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,2592,1.08,2400,Blue,Round,5.79,5.67,4.17,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,2592,1.62,1600,Blue,Pear,8.65,6.1,3.7,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Green Sapphire,2592,3.24,800,Green,Radiant,12.3,6.12,3.74,Slightly Included,Radiant Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Padparadscha Sapphire,2592,1.62,1600,Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,8.14,6.22,3.99,Eye Clean,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),No Enhancement,Good
Padparadscha Sapphire,2592,1.08,2400,Padparadscha (Pinkish-Orange / Orangish-Pink),Cushion,5.79,5.69,3.5,Eye Clean,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Fair
Padparadscha Sapphire,2592,1.08,2400,Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,7.12,4.88,3.78,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Purple Sapphire,2592,2.16,1200,Purple,Emerald Cut,9.58,6.26,3.08,Very Slightly Included,Emerald Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Yellow Sapphire,2592,2.88,900,Yellow,Radiant,8.28,6.63,5.62,Very Slightly Included,Radiant Cut,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Yellow Sapphire,2594,2.47,1050,Yellow,Oval,9.14,7.15,4.93,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,2595,1.73,1500,Blue,Cushion,6.62,6.61,3.98,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,2596,1.18,2200,Pink,Radiant,5.95,4.95,4.14,Very Slightly Included,Radiant Cut,Medium,Ceylon (Sri Lanka),No Enhancement,Excellent
Blue Sapphire,2599,1.06,2452,Blue,Oval,6.6,5.08,3.46,Very Slightly Included,Mixed Brilliant,Vivid,Tanzania,No Enhancement,Very Good
Yellow Sapphire,2599,1.56,1666,Yellowish Orange,Marquise,14.65,6.68,4.14,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,2600,2.6,1000,Color Change,Emerald Cut,9.99,5.2,4.74,Eye Clean,Emerald Cut,Vivid,Ceylon (Sri Lanka),No Enhancement,Fair
Padparadscha Sapphire,2600,1.03,2524,Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,6.32,5.14,3.69,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,2601,1.95,1334,Blue,Cushion,7.44,5.78,4.92,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,2601,1.53,1700,Blue,Cushion,6.7,5.85,4.21,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Pink Sapphire,2601,1.53,1900,Pink,Asscher - Octagon,7.37,5.6,3.81,Slightly Included,Mixed Brilliant,Medium Light,Ceylon (Sri Lanka),Heated,Very Good
Purple Sapphire,2601,2.57,1012,Purple,Oval,9.05,7.2,4.83,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Pink Sapphire,2602,2.37,1098,Pink,Cushion,7.1,7.07,4.82,Included,Mixed Brilliant,Medium,Burma (Myanmar),No Enhancement,Fair
Green Sapphire,2603,1.74,1496,Green,Trillion,7.71,7.99,4.42,Very Slightly Included,Trillion Cut,Intense,Ceylon (Sri Lanka),No Enhancement,Very Good
Blue Sapphire,2604,2.17,1200,Blue,Round,7.75,7.73,4.49,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),No Enhancement,Fair
Blue Sapphire,2604,1.86,1400,Purplish Blue,Oval,8.35,6.7,4.45,Very Slightly Included,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Good
Blue Sapphire,2607,2.37,1100,Color Change,Oval,7.87,7.25,5.28,Eye Clean,Mixed Brilliant,Vivid,Madagascar,Heated,Fair
Blue Sapphire,2608,1.63,1600,Blue,Oval,7.86,5.51,4.41,Eye Clean,Mixed Brilliant,Vivid,Ceylon (Sri Lanka),Heated,Fair
Pink Sapphire,2610,1.45,1800,Pink,Pear,8.87,7.43,3.38,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),Heated,Very Good
Yellow Sapphire,2610,1.74,1500,Yellowish Green,Cushion,7.46,6.72,4.49,Very Slightly Included,Mixed Brilliant,Medium Intense,Montana,No Enhancement,Excellent
Ruby,2613,0.67,3900,Red,Emerald Cut,6.19,3.92,2.36,Very Slightly Included,Emerald Cut,Vivid,Mozambique,Heated,Very Good
Yellow Sapphire,2614,2.64,990,Yellowish Brown,Oval,8.88,6.88,4.67,Very Slightly Included,Mixed Brilliant,Medium Intense,Ceylon (Sri Lanka),No Enhancement,Good
Padparadscha Sapphire,2616,1.2,2180,Padparadscha (Pinkish-Orange / Orangish-Pink),Oval,6.63,5.47,4.02,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,2617,1.11,2358,Blue,Cushion,5.95,5.24,4.15,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Very Good
Blue Sapphire,2618,1.54,1700,Blue,Asscher - Octagon,6.06,5.95,4.73,Very Slightly Included,Asscher,Vivid,Ceylon (Sri Lanka),Heated,Good
Yellow Sapphire,2618,2.38,1100,Yellow,Oval,8.8,7.14,5.14,Very Slightly Included,Mixed Brilliant,Medium,Ceylon (Sri Lanka),No Enhancement,Good
Blue Sapphire,2620,2.62,1000,Blue,Cushion,8.19,6.58,5.58,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Fair
Blue Sapphire,2620,1.31,2000,Blue,Round,6.13,6.1,4.19,Very Slightly Included,Mixed Brilliant,Intense,Ceylon (Sri Lanka),Heated,Good
